Type,Mass Mstar/Msun,Luminosity Lstar/Lsun,Radius Rstar/Rsun,Temp K,Color Index (B-V),Abs Mag Mv,Bolo Corr Temp,Bolo Mag Mbol,r,g,b
WC2III,116.5,1.26E+06,1.85E+01,45600,-0.35,-6.2,-4.3,-10.5,0.580392157,0.666666667,1
WC2IV,105.7,8.72E+05,1.54E+01,45600,-0.35,-5.8,-4.3,-10.1,0.580392157,0.662745098,1
WC2V,95,7.95E+05,1.47E+01,45600,-0.35,-5.7,-4.3,-10,0.57254902,0.662745098,1
WC2VI,30,6.03E+05,1.28E+01,45600,-0.35,-5.4,-4.3,-9.7,0.580392157,0.666666667,1
WC3Ia0,159,1.68E+07,7.69E+01,42800,-0.34,-9.2,-4.12,-13.32,0.580392157,0.666666667,1
WC3Ia,148,1.85E+06,2.55E+01,42800,-0.34,-6.8,-4.12,-10.92,0.592156863,0.674509804,1
WC3Ib,136.9,1.40E+06,2.22E+01,42800,-0.34,-6.5,-4.12,-10.62,0.592156863,0.674509804,1
WC3II,125.8,1.21E+06,2.00E+01,43400,-0.34,-6.3,-4.16,-10.46,0.592156863,0.674509804,1
WC3III,114.7,9.17E+05,1.75E+01,43400,-0.34,-6,-4.16,-10.16,0.584313725,0.678431373,1
WC3IV,103.6,6.96E+05,1.52E+01,43400,-0.34,-5.7,-4.16,-9.86,0.588235294,0.670588235,1
WC3V,92.5,6.34E+05,1.45E+01,43400,-0.34,-5.6,-4.16,-9.76,0.580392157,0.666666667,1
WC3VI,23,4.81E+05,1.26E+01,43400,-0.34,-5.3,-4.16,-9.46,0.592156863,0.674509804,1
WC4Ia0,158.7,1.32E+07,7.64E+01,40400,-0.33,-9.1,-3.95,-13.05,0.592156863,0.674509804,1
WC4Ia,147.3,1.74E+06,2.77E+01,40400,-0.33,-6.9,-3.95,-10.85,0.6,0.682352941,1
WC4Ib,135.8,1.20E+06,2.31E+01,40400,-0.33,-6.5,-3.95,-10.45,0.6,0.682352941,1
WC4II,124.4,9.60E+05,1.98E+01,41200,-0.34,-6.2,-4.01,-10.21,0.6,0.682352941,1
WC4III,112.9,7.28E+05,1.73E+01,41200,-0.34,-5.9,-4.01,-9.91,0.592156863,0.68627451,1
WC4IV,101.5,5.52E+05,1.50E+01,41200,-0.34,-5.6,-4.01,-9.61,0.596078431,0.674509804,1
WC4V,90,5.04E+05,1.44E+01,41200,-0.34,-5.5,-4.01,-9.51,0.584313725,0.670588235,1
WC4VI,20,3.82E+05,1.25E+01,41200,-0.34,-5.2,-4.01,-9.21,0.6,0.682352941,1
WC5Ia0,158.4,1.03E+07,7.62E+01,38000,-0.33,-9,-3.78,-12.78,0.6,0.682352941,1
WC5Ia,142,1.48E+06,2.90E+01,38000,-0.33,-6.9,-3.78,-10.68,0.607843137,0.690196078,1
WC5Ib,125.6,1.03E+06,2.41E+01,38000,-0.33,-6.5,-3.78,-10.28,0.607843137,0.690196078,1
WC5II,109.2,7.59E+05,1.97E+01,39000,-0.33,-6.1,-3.85,-9.95,0.607843137,0.690196078,1
WC5III,92.8,5.25E+05,1.64E+01,39000,-0.33,-5.7,-3.85,-9.55,0.6,0.694117647,1
WC5IV,76.4,4.37E+05,1.49E+01,39000,-0.33,-5.5,-3.85,-9.35,0.603921569,0.682352941,1
WC5V,60,3.98E+05,1.42E+01,39000,-0.33,-5.4,-3.85,-9.25,0.588235294,0.674509804,1
WC5VI,17.5,3.02E+05,1.24E+01,39000,-0.33,-5.1,-3.85,-8.95,0.607843137,0.690196078,1
WC6Ia0,136.7,7.81E+06,7.66E+01,35400,-0.32,-8.9,-3.58,-12.48,0.607843137,0.690196078,1
WC6Ia,120.1,1.36E+06,3.19E+01,35400,-0.32,-7,-3.58,-10.58,0.615686275,0.698039216,1
WC6Ib,103.5,7.81E+05,2.42E+01,35400,-0.32,-6.4,-3.58,-9.98,0.615686275,0.698039216,1
WC6II,86.9,6.54E+05,2.05E+01,36800,-0.32,-6.1,-3.69,-9.79,0.615686275,0.698039216,1
WC6III,70.2,3.76E+05,1.56E+01,36800,-0.32,-5.5,-3.69,-9.19,0.607843137,0.701960784,1
WC6IV,53.6,3.13E+05,1.42E+01,36800,-0.32,-5.3,-3.69,-8.99,0.611764706,0.68627451,1
WC6V,37,2.60E+05,1.29E+01,36800,-0.32,-5.1,-3.69,-8.79,0.592156863,0.682352941,1
WC6VI,14.2,1.80E+05,1.08E+01,36800,-0.32,-4.7,-3.69,-8.39,0.635294118,0.721568627,1
WC7Ia0,115.1,5.88E+06,7.74E+01,32800,-0.31,-8.8,-3.37,-12.17,0.635294118,0.721568627,1
WC7Ia,100.9,1.12E+06,3.38E+01,32800,-0.31,-7,-3.37,-10.37,0.62745098,0.709803922,1
WC7Ib,86.7,5.88E+05,2.45E+01,32800,-0.31,-6.3,-3.37,-9.67,0.62745098,0.709803922,1
WC7II,72.5,5.10E+05,2.05E+01,34600,-0.32,-6,-3.52,-9.52,0.62745098,0.709803922,1
WC7III,58.4,2.94E+05,1.55E+01,34600,-0.32,-5.4,-3.52,-8.92,0.611764706,0.709803922,1
WC7IV,44.2,2.23E+05,1.35E+01,34600,-0.32,-5.1,-3.52,-8.62,0.619607843,0.694117647,1
WC7V,30,1.54E+05,1.13E+01,34600,-0.32,-4.7,-3.52,-8.22,0.596078431,0.68627451,1
WC7VI,10.9,1.07E+05,9.36E+00,34600,-0.32,-4.3,-3.52,-7.82,0.615686275,0.694117647,1
WC8Ia0,93.4,4.37E+06,7.87E+01,30200,-0.3,-8.7,-3.15,-11.85,0.615686275,0.694117647,1
WC8Ia,81.7,9.13E+05,3.60E+01,30200,-0.3,-7,-3.15,-10.15,0.635294118,0.717647059,1
WC8Ib,69.9,4.37E+05,2.49E+01,30200,-0.3,-6.2,-3.15,-9.35,0.635294118,0.717647059,1
WC8II,58.2,3.60E+05,1.96E+01,32400,-0.31,-5.8,-3.34,-9.14,0.635294118,0.717647059,1
WC8III,46.5,2.07E+05,1.49E+01,32400,-0.31,-5.2,-3.34,-8.54,0.619607843,0.717647059,1
WC8IV,34.7,1.57E+05,1.30E+01,32400,-0.31,-4.9,-3.34,-8.24,0.615686275,0.698039216,1
WC8V,23,9.91E+04,1.03E+01,32400,-0.31,-4.4,-3.34,-7.74,0.6,0.690196078,1
WC8VI,7.6,5.70E+04,7.81E+00,32400,-0.31,-3.8,-3.34,-7.14,0.615686275,0.694117647,1
WN0VI,60,9.40E+05,1.33E+01,50000,-0.35,-5.6,-4.58,-10.18,0.615686275,0.694117647,1
WC9Ia0,71.8,3.19E+06,8.05E+01,27600,-0.29,-8.6,-2.91,-11.51,0.643137255,0.725490196,1
WC9Ia,63.1,7.31E+05,3.85E+01,27600,-0.29,-7,-2.91,-9.91,0.643137255,0.725490196,1
WC9Ib,54.5,3.19E+05,2.55E+01,27600,-0.29,-6.1,-2.91,-9.01,0.643137255,0.725490196,1
WC9II,45.9,2.76E+05,1.98E+01,30200,-0.3,-5.7,-3.15,-8.85,0.62745098,0.729411765,1
WC9III,37.3,1.59E+05,1.50E+01,30200,-0.3,-5.1,-3.15,-8.25,0.619607843,0.694117647,1
WC9IV,28.6,1.10E+05,1.25E+01,30200,-0.3,-4.7,-3.15,-7.85,0.607843137,0.694117647,1
WC9V,20,5.76E+04,9.04E+00,30200,-0.3,-4,-3.15,-7.15,0.603921569,0.698039216,1
WC9VI,6.7,3.31E+04,6.85E+00,30200,-0.3,-3.4,-3.15,-6.55,0.603921569,0.698039216,1
WN0Ia0,160,3.41E+07,8.02E+01,50000,-0.35,-9.5,-4.58,-14.08,0.564705882,0.650980392,1
WN0Ia,150,2.59E+06,2.21E+01,50000,-0.35,-6.7,-4.58,-11.28,0.564705882,0.650980392,1
WN0Ib,140,2.15E+06,2.02E+01,50000,-0.35,-6.5,-4.58,-11.08,0.564705882,0.650980392,1
WN0II,130,2.15E+06,2.02E+01,50000,-0.35,-6.5,-4.58,-11.08,0.564705882,0.650980392,1
WN0III,120,2.15E+06,2.02E+01,50000,-0.35,-6.5,-4.58,-11.08,0.564705882,0.650980392,1
WN0IV,110,1.36E+06,1.60E+01,50000,-0.35,-6,-4.58,-10.58,0.564705882,0.650980392,1
WN0V,100,1.24E+06,1.53E+01,50000,-0.35,-5.9,-4.58,-10.48,0.564705882,0.650980392,1
WN1Ia0,159.7,2.71E+07,7.88E+01,47600,-0.35,-9.4,-4.43,-13.83,0.564705882,0.650980392,1
WN1Ia,149.3,2.25E+06,2.27E+01,47600,-0.35,-6.7,-4.43,-11.13,0.57254902,0.658823529,1
WN1Ib,139,1.87E+06,2.07E+01,47600,-0.35,-6.5,-4.43,-10.93,0.57254902,0.658823529,1
WN1II,128.6,1.73E+06,1.98E+01,47800,-0.35,-6.4,-4.44,-10.84,0.57254902,0.658823529,1
WN1III,118.2,1.58E+06,1.89E+01,47800,-0.35,-6.3,-4.44,-10.74,0.57254902,0.658823529,1
WN1IV,107.9,1.09E+06,1.57E+01,47800,-0.35,-5.9,-4.44,-10.34,0.57254902,0.658823529,1
WN1V,97.5,9.94E+05,1.50E+01,47800,-0.35,-5.8,-4.44,-10.24,0.568627451,0.654901961,1
WN1VI,37,7.54E+05,1.31E+01,47800,-0.35,-5.5,-4.44,-9.94,0.57254902,0.658823529,1
WN2Ia0,159.4,2.14E+07,7.77E+01,45200,-0.35,-9.3,-4.28,-13.58,0.57254902,0.658823529,1
WN2Ia,148.6,2.14E+06,2.46E+01,45200,-0.35,-6.8,-4.28,-11.08,0.580392157,0.666666667,1
WN2Ib,137.9,1.62E+06,2.14E+01,45200,-0.35,-6.5,-4.28,-10.78,0.580392157,0.666666667,1
WN2II,127.2,1.52E+06,2.03E+01,45600,-0.35,-6.4,-4.3,-10.7,0.580392157,0.666666667,1
WN2III,116.5,1.26E+06,1.85E+01,45600,-0.35,-6.2,-4.3,-10.5,0.580392157,0.666666667,1
WN2IV,105.7,8.72E+05,1.54E+01,45600,-0.35,-5.8,-4.3,-10.1,0.580392157,0.662745098,1
WN2V,95,7.95E+05,1.47E+01,45600,-0.35,-5.7,-4.3,-10,0.57254902,0.662745098,1
WN2VI,30,6.03E+05,1.28E+01,45600,-0.35,-5.4,-4.3,-9.7,0.580392157,0.666666667,1
WN3Ia0,159,1.68E+07,7.69E+01,42800,-0.34,-9.2,-4.12,-13.32,0.580392157,0.666666667,1
WN3Ia,148,1.85E+06,2.55E+01,42800,-0.34,-6.8,-4.12,-10.92,0.592156863,0.674509804,1
WN3Ib,136.9,1.40E+06,2.22E+01,42800,-0.34,-6.5,-4.12,-10.62,0.592156863,0.674509804,1
WN3II,125.8,1.21E+06,2.00E+01,43400,-0.34,-6.3,-4.16,-10.46,0.592156863,0.674509804,1
WN3III,114.7,9.17E+05,1.75E+01,43400,-0.34,-6,-4.16,-10.16,0.584313725,0.678431373,1
WN3IV,103.6,6.96E+05,1.52E+01,43400,-0.34,-5.7,-4.16,-9.86,0.588235294,0.670588235,1
WN3V,92.5,6.34E+05,1.45E+01,43400,-0.34,-5.6,-4.16,-9.76,0.580392157,0.666666667,1
WN3VI,23,4.81E+05,1.26E+01,43400,-0.34,-5.3,-4.16,-9.46,0.592156863,0.674509804,1
WN4Ia0,158.7,1.32E+07,7.64E+01,40400,-0.33,-9.1,-3.95,-13.05,0.592156863,0.674509804,1
WN4Ia,147.3,1.74E+06,2.77E+01,40400,-0.33,-6.9,-3.95,-10.85,0.6,0.682352941,1
WN4Ib,135.8,1.20E+06,2.31E+01,40400,-0.33,-6.5,-3.95,-10.45,0.6,0.682352941,1
WN4II,124.4,9.60E+05,1.98E+01,41200,-0.34,-6.2,-4.01,-10.21,0.6,0.682352941,1
WN4III,112.9,7.28E+05,1.73E+01,41200,-0.34,-5.9,-4.01,-9.91,0.592156863,0.68627451,1
WN4IV,101.5,5.52E+05,1.50E+01,41200,-0.34,-5.6,-4.01,-9.61,0.596078431,0.674509804,1
WN4V,90,5.04E+05,1.44E+01,41200,-0.34,-5.5,-4.01,-9.51,0.584313725,0.670588235,1
WN4VI,20,3.82E+05,1.25E+01,41200,-0.34,-5.2,-4.01,-9.21,0.6,0.682352941,1
WN5Ia0,158.4,1.03E+07,7.62E+01,38000,-0.33,-9,-3.78,-12.78,0.6,0.682352941,1
WN5Ia,142,1.48E+06,2.90E+01,38000,-0.33,-6.9,-3.78,-10.68,0.607843137,0.690196078,1
WN5Ib,125.6,1.03E+06,2.41E+01,38000,-0.33,-6.5,-3.78,-10.28,0.607843137,0.690196078,1
WN5II,109.2,7.59E+05,1.97E+01,39000,-0.33,-6.1,-3.85,-9.95,0.607843137,0.690196078,1
WN5III,92.8,5.25E+05,1.64E+01,39000,-0.33,-5.7,-3.85,-9.55,0.6,0.694117647,1
WN5IV,76.4,4.37E+05,1.49E+01,39000,-0.33,-5.5,-3.85,-9.35,0.603921569,0.682352941,1
WN5V,60,3.98E+05,1.42E+01,39000,-0.33,-5.4,-3.85,-9.25,0.588235294,0.674509804,1
WN5VI,17.5,3.02E+05,1.24E+01,39000,-0.33,-5.1,-3.85,-8.95,0.607843137,0.690196078,1
WN6Ia0,136.7,7.81E+06,7.66E+01,35400,-0.32,-8.9,-3.58,-12.48,0.607843137,0.690196078,1
WN6Ia,120.1,1.36E+06,3.19E+01,35400,-0.32,-7,-3.58,-10.58,0.615686275,0.698039216,1
WN6Ib,103.5,7.81E+05,2.42E+01,35400,-0.32,-6.4,-3.58,-9.98,0.615686275,0.698039216,1
WN6II,86.9,6.54E+05,2.05E+01,36800,-0.32,-6.1,-3.69,-9.79,0.615686275,0.698039216,1
WN6III,70.2,3.76E+05,1.56E+01,36800,-0.32,-5.5,-3.69,-9.19,0.607843137,0.701960784,1
WN6IV,53.6,3.13E+05,1.42E+01,36800,-0.32,-5.3,-3.69,-8.99,0.611764706,0.68627451,1
WN6V,37,2.60E+05,1.29E+01,36800,-0.32,-5.1,-3.69,-8.79,0.592156863,0.682352941,1
WN6VI,14.2,1.80E+05,1.08E+01,36800,-0.32,-4.7,-3.69,-8.39,0.635294118,0.721568627,1
WN7Ia0,115.1,5.88E+06,7.74E+01,32800,-0.31,-8.8,-3.37,-12.17,0.635294118,0.721568627,1
WN7Ia,100.9,1.12E+06,3.38E+01,32800,-0.31,-7,-3.37,-10.37,0.62745098,0.709803922,1
WN7Ib,86.7,5.88E+05,2.45E+01,32800,-0.31,-6.3,-3.37,-9.67,0.62745098,0.709803922,1
WN7II,72.5,5.10E+05,2.05E+01,34600,-0.32,-6,-3.52,-9.52,0.62745098,0.709803922,1
WN7III,58.4,2.94E+05,1.55E+01,34600,-0.32,-5.4,-3.52,-8.92,0.611764706,0.709803922,1
WN7IV,44.2,2.23E+05,1.35E+01,34600,-0.32,-5.1,-3.52,-8.62,0.619607843,0.694117647,1
WN7V,30,1.54E+05,1.13E+01,34600,-0.32,-4.7,-3.52,-8.22,0.596078431,0.68627451,1
WN7VI,10.9,1.07E+05,9.36E+00,34600,-0.32,-4.3,-3.52,-7.82,0.615686275,0.694117647,1
WN8Ia0,93.4,4.37E+06,7.87E+01,30200,-0.3,-8.7,-3.15,-11.85,0.615686275,0.694117647,1
WN8Ia,81.7,9.13E+05,3.60E+01,30200,-0.3,-7,-3.15,-10.15,0.635294118,0.717647059,1
WN8Ib,69.9,4.37E+05,2.49E+01,30200,-0.3,-6.2,-3.15,-9.35,0.635294118,0.717647059,1
WN8II,58.2,3.60E+05,1.96E+01,32400,-0.31,-5.8,-3.34,-9.14,0.635294118,0.717647059,1
WN8III,46.5,2.07E+05,1.49E+01,32400,-0.31,-5.2,-3.34,-8.54,0.619607843,0.717647059,1
WN8IV,34.7,1.57E+05,1.30E+01,32400,-0.31,-4.9,-3.34,-8.24,0.615686275,0.698039216,1
WN8V,23,9.91E+04,1.03E+01,32400,-0.31,-4.4,-3.34,-7.74,0.6,0.690196078,1
WN8VI,7.6,5.70E+04,7.81E+00,32400,-0.31,-3.8,-3.34,-7.14,0.615686275,0.694117647,1
WN9Ia0,71.8,3.19E+06,8.05E+01,27600,-0.29,-8.6,-2.91,-11.51,0.615686275,0.694117647,1
WN9Ia,63.1,7.31E+05,3.85E+01,27600,-0.29,-7,-2.91,-9.91,0.643137255,0.725490196,1
WN9Ib,54.5,3.19E+05,2.55E+01,27600,-0.29,-6.1,-2.91,-9.01,0.643137255,0.725490196,1
WN9II,45.9,2.76E+05,1.98E+01,30200,-0.3,-5.7,-3.15,-8.85,0.643137255,0.725490196,1
WN9III,37.3,1.59E+05,1.50E+01,30200,-0.3,-5.1,-3.15,-8.25,0.62745098,0.729411765,1
WN9IV,28.6,1.10E+05,1.25E+01,30200,-0.3,-4.7,-3.15,-7.85,0.619607843,0.694117647,1
WN9V,20,5.76E+04,9.04E+00,30200,-0.3,-4,-3.15,-7.15,0.607843137,0.694117647,1
WN9VI,6.7,3.31E+04,6.85E+00,30200,-0.3,-3.4,-3.15,-6.55,0.603921569,0.698039216,1
R0Ia0,12,8.13E+05,1.42E+03,4669,1.03,-9.4,-0.62,-10.02,0.603921569,0.698039216,1
R0Ia,10.2,1.70E+05,6.49E+02,4669,1.03,-7.7,-0.62,-8.32,1,0.905882353,0.756862745
R0Ib,8.3,9.77E+03,1.56E+02,4669,1.03,-4.6,-0.62,-5.22,1,0.905882353,0.756862745
R0II,6.5,1.29E+03,5.65E+01,4669,1.03,-2.4,-0.62,-3.02,1,0.905882353,0.756862745
R0III,4.6,8.91E+01,1.49E+01,4669,1.03,0.5,-0.62,-0.12,1,0.929411765,0.819607843
R0IV,2.8,6.20E+00,2.76E+00,5560,0.75,3,-0.23,2.77,1,0.952941176,0.91372549
R0V,0.9,9.82E-01,1.10E+00,5560,0.75,5,-0.23,4.77,1,0.960784314,0.933333333
R0VI,0.8,2.97E-01,6.05E-01,5560,0.75,6.3,-0.23,6.07,1,0.945098039,0.898039216
R1Ia0,12.4,8.71E+05,1.54E+03,4561,1.07,-9.4,-0.7,-10.1,1,0.945098039,0.898039216
R1Ia,10.5,1.66E+05,6.72E+02,4561,1.07,-7.6,-0.7,-8.3,1,0.894117647,0.733333333
R1Ib,8.6,1.05E+04,1.69E+02,4561,1.07,-4.6,-0.7,-5.3,1,0.894117647,0.733333333
R1II,6.7,1.38E+03,6.13E+01,4561,1.07,-2.4,-0.7,-3.1,1,0.894117647,0.733333333
R1III,4.7,1.05E+02,1.69E+01,4561,1.07,0.4,-0.7,-0.3,1,0.917647059,0.788235294
R1IV,2.8,6.61E+00,3.11E+00,5331,0.82,3,-0.3,2.7,1,0.937254902,0.870588235
R1V,0.9,7.94E-01,1.08E+00,5331,0.82,5.3,-0.3,5,1,0.945098039,0.898039216
R1VI,0.7,2.19E-01,5.65E-01,5331,0.82,6.7,-0.3,6.4,1,0.933333333,0.870588235
R2Ia0,12.8,9.40E+05,1.68E+03,4453,1.11,-9.4,-0.78,-10.18,1,0.933333333,0.870588235
R2Ia,10.8,1.79E+05,7.33E+02,4453,1.11,-7.6,-0.78,-8.38,1,0.882352941,0.71372549
R2Ib,8.8,1.24E+04,1.93E+02,4453,1.11,-4.7,-0.78,-5.48,1,0.882352941,0.71372549
R2II,6.8,1.49E+03,6.68E+01,4453,1.11,-2.4,-0.78,-3.18,1,0.882352941,0.71372549
R2III,4.8,1.36E+02,2.02E+01,4453,1.11,0.2,-0.78,-0.58,1,0.901960784,0.752941176
R2IV,2.8,7.17E+00,3.53E+00,5102,0.89,3,-0.39,2.61,1,0.917647059,0.82745098
R2V,0.8,6.54E-01,1.07E+00,5102,0.89,5.6,-0.39,5.21,1,0.933333333,0.866666667
R2VI,0.7,1.80E-01,5.60E-01,5102,0.89,7,-0.39,6.61,1,0.921568627,0.847058824
R3Ia0,13.3,9.32E+05,1.75E+03,4346,1.15,-9.3,-0.87,-10.17,1,0.921568627,0.847058824
R3Ia,11.2,1.78E+05,7.66E+02,4346,1.15,-7.5,-0.87,-8.37,1,0.870588235,0.690196078
R3Ib,9.1,1.35E+04,2.11E+02,4346,1.15,-4.7,-0.87,-5.57,1,0.870588235,0.690196078
R3II,7,1.78E+03,7.66E+01,4346,1.15,-2.5,-0.87,-3.37,1,0.870588235,0.690196078
R3III,5,1.62E+02,2.31E+01,4346,1.15,0.1,-0.87,-0.77,1,0.890196078,0.721568627
R3IV,2.9,7.26E+00,3.90E+00,4873,0.97,3.1,-0.5,2.6,1,0.901960784,0.780392157
R3V,0.8,5.50E-01,1.07E+00,4873,0.97,5.9,-0.5,5.4,1,0.917647059,0.831372549
R3VI,0.6,1.52E-01,5.63E-01,4873,0.97,7.3,-0.5,6.8,1,0.91372549,0.819607843
R4Ia0,13.7,1.02E+06,1.93E+03,4238,1.19,-9.3,-0.97,-10.27,1,0.91372549,0.819607843
R4Ia,11.5,1.95E+05,8.44E+02,4238,1.19,-7.5,-0.97,-8.47,1,0.858823529,0.670588235
R4Ib,9.4,1.62E+04,2.43E+02,4238,1.19,-4.8,-0.97,-5.77,1,0.858823529,0.670588235
R4II,7.2,1.95E+03,8.44E+01,4238,1.19,-2.5,-0.97,-3.47,1,0.858823529,0.670588235
R4III,5.1,1.95E+02,2.67E+01,4238,1.19,0,-0.97,-0.97,1,0.874509804,0.68627451
R4IV,2.9,8.25E+00,4.57E+00,4644,1.04,3.1,-0.64,2.46,1,0.882352941,0.737254902
R4V,0.8,5.21E-01,1.15E+00,4644,1.04,6.1,-0.64,5.46,1,0.905882353,0.796078431
R4VI,0.6,1.19E-01,5.50E-01,4644,1.04,7.7,-0.64,7.06,1,0.901960784,0.796078431
R5Ia0,14.1,1.13E+06,2.14E+03,4130,1.23,-9.3,-1.08,-10.38,1,0.901960784,0.796078431
R5Ia,11.9,1.97E+05,8.93E+02,4130,1.23,-7.4,-1.08,-8.48,1,0.847058824,0.647058824
R5Ib,9.6,2.16E+04,2.96E+02,4130,1.23,-5,-1.08,-6.08,1,0.847058824,0.647058824
R5II,7.4,2.16E+03,9.35E+01,4130,1.23,-2.5,-1.08,-3.58,1,0.847058824,0.647058824
R5III,5.2,2.59E+02,3.24E+01,4130,1.23,-0.2,-1.08,-1.28,1,0.862745098,0.654901961
R5IV,2.9,9.67E+00,5.47E+00,4416,1.12,3.1,-0.81,2.29,1,0.866666667,0.694117647
R5V,0.7,4.63E-01,1.20E+00,4416,1.12,6.4,-0.81,5.59,1,0.890196078,0.760784314
R5VI,0.5,8.81E-02,5.23E-01,4416,1.12,8.2,-0.81,7.39,1,0.890196078,0.768627451
R6Ia0,14.5,1.26E+06,2.39E+03,4023,1.27,-9.3,-1.2,-10.5,1,0.890196078,0.768627451
R6Ia,12.2,2.20E+05,9.95E+02,4023,1.27,-7.4,-1.2,-8.6,1,0.835294118,0.62745098
R6Ib,9.9,3.18E+04,3.78E+02,4023,1.27,-5.3,-1.2,-6.5,1,0.835294118,0.62745098
R6II,7.6,2.41E+03,1.04E+02,4023,1.27,-2.5,-1.2,-3.7,1,0.835294118,0.62745098
R6III,5.3,3.18E+02,3.78E+01,4023,1.27,-0.3,-1.2,-1.5,1,0.850980392,0.619607843
R6IV,3,1.17E+01,6.71E+00,4187,1.21,3.1,-1.02,2.08,1,0.847058824,0.650980392
R6V,0.7,4.26E-01,1.28E+00,4187,1.21,6.7,-1.02,5.68,1,0.878431373,0.729411765
R6VI,0.4,6.76E-02,5.09E-01,4187,1.21,8.7,-1.02,7.68,1,0.858823529,0.71372549
R7Ia0,15,1.43E+06,2.68E+03,3915,1.32,-9.3,-1.34,-10.64,1,0.858823529,0.71372549
R7Ia,12.6,2.27E+05,1.07E+03,3915,1.32,-7.3,-1.34,-8.64,1,0.823529412,0.603921569
R7Ib,10.2,3.94E+04,4.45E+02,3915,1.32,-5.4,-1.34,-6.74,1,0.823529412,0.603921569
R7II,7.8,2.99E+03,1.22E+02,3915,1.32,-2.6,-1.34,-3.94,1,0.823529412,0.603921569
R7III,5.4,3.94E+02,4.45E+01,3915,1.32,-0.4,-1.34,-1.74,1,0.835294118,0.588235294
R7IV,3,1.36E+01,8.08E+00,3958,1.3,3.2,-1.28,1.92,1,0.831372549,0.603921569
R7V,0.6,2.59E-01,1.12E+00,3958,1.3,7.5,-1.28,6.22,1,0.862745098,0.694117647
R7VI,0.4,4.50E-02,4.65E-01,3958,1.3,9.4,-1.28,8.12,1,0.82745098,0.658823529
R8Ia0,15.4,1.64E+06,3.03E+03,3808,1.36,-9.3,-1.48,-10.78,1,0.82745098,0.658823529
R8Ia,12.9,2.59E+05,1.21E+03,3808,1.36,-7.3,-1.48,-8.78,1,0.811764706,0.584313725
R8Ib,10.4,4.50E+04,5.03E+02,3808,1.36,-5.4,-1.48,-6.88,1,0.811764706,0.584313725
R8II,8,3.42E+03,1.38E+02,3808,1.36,-2.6,-1.48,-4.08,1,0.811764706,0.584313725
R8III,5.5,5.41E+02,5.51E+01,3808,1.36,-0.6,-1.48,-2.08,1,0.823529412,0.552941176
R8IV,3,1.82E+01,1.05E+01,3729,1.39,3.2,-1.6,1.6,1,0.811764706,0.560784314
R8V,0.6,1.82E-01,1.05E+00,3729,1.39,8.2,-1.6,6.6,1,0.847058824,0.658823529
R8VI,0.3,3.80E-02,4.82E-01,3729,1.39,9.9,-1.6,8.3,1,0.796078431,0.6
R9Ia0,15.8,1.90E+06,3.46E+03,3700,1.41,-9.3,-1.65,-10.95,1,0.796078431,0.6
R9Ia,13.3,2.74E+05,1.31E+03,3700,1.41,-7.2,-1.65,-8.85,1,0.8,0.560784314
R9Ib,10.7,5.73E+04,6.00E+02,3700,1.41,-5.5,-1.65,-7.15,1,0.8,0.560784314
R9II,8.2,3.96E+03,1.58E+02,3700,1.41,-2.6,-1.65,-4.25,1,0.8,0.560784314
